iter	Passed	Remaining
0	58	58222
1	58	29409
2	59	19840
3	60	15009
4	60	12134
5	61	10186
6	62	8814
7	62	7775
8	63	6972
9	63	6320
10	64	5787
11	64	5343
12	65	4964
13	65	4640
14	66	4359
15	66	4112
16	67	3894
17	68	3710
18	68	3539
19	69	3385
20	69	3246
21	70	3125
22	70	3013
23	71	2910
24	72	2811
25	72	2720
26	73	2636
27	73	2558
28	74	2486
29	74	2418
30	75	2355
31	75	2297
32	76	2246
33	77	2192
34	77	2143
35	78	2096
36	78	2052
37	79	2010
38	80	1971
39	80	1933
40	81	1897
41	81	1863
42	82	1829
43	82	1798
44	83	1769
45	84	1742
46	84	1715
47	85	1688
48	85	1662
49	86	1638
50	86	1614
51	87	1591
52	87	1569
53	88	1549
54	88	1528
55	89	1509
56	90	1490
57	90	1471
58	91	1453
59	91	1436
60	92	1420
61	92	1403
62	93	1386
63	93	1370
64	94	1357
65	94	1343
66	95	1329
67	96	1315
68	96	1308
69	97	1296
70	98	1283
71	98	1271
72	99	1258
73	99	1248
74	100	1238
75	101	1228
76	101	1218
77	102	1207
78	102	1197
79	103	1187
80	103	1177
81	104	1167
82	104	1154
83	105	1145
84	105	1137
85	106	1129
86	106	1120
87	107	1112
88	107	1103
89	108	1095
90	108	1087
91	109	1081
92	110	1074
93	110	1067
94	111	1061
95	111	1054
96	112	1048
97	113	1042
98	113	1035
99	114	1028
100	114	1021
101	115	1015
102	115	1009
103	116	1003
104	117	997
105	117	992
106	118	985
107	118	980
108	119	974
109	119	969
110	120	963
111	120	957
112	121	952
113	121	947
114	122	941
115	122	937
116	123	930
117	123	925
118	124	921
119	125	916
120	125	913
121	126	907
122	126	903
123	127	898
124	127	894
125	128	890
126	128	885
127	129	881
128	129	877
129	130	873
130	131	869
131	131	865
132	132	861
133	132	857
134	133	853
135	133	849
136	134	845
137	134	841
138	135	838
139	135	834
140	136	831
141	136	825
142	137	822
143	137	819
144	138	815
145	138	812
146	139	809
147	140	806
148	140	803
149	141	799
150	141	796
151	142	793
152	142	790
153	143	787
154	143	784
